,E-Datum,KFZ,Start,Ende
517,'29.08.2020','1-KTW-5','10:00','11:00'
518,'29.08.2020','1-KTW-6','11:00','12:00'
519,'29.08.2020','1-KTW-6','12:00','13:00'
520,'29.08.2020','5-KTW-2','07:00','08:00'
521,'29.08.2020','5-KTW-2','08:00','09:00'
522,'29.08.2020','5-KTW-3','09:00','10:00'
523,'29.08.2020','5-KTW-3','10:00','11:00'
524,'29.08.2020','5-KTW-4','10:00','11:00'
525,'29.08.2020','5-KTW-4','11:00','12:00'
526,'29.08.2020','5-KTW-5','09:00','10:00'
527,'29.08.2020','5-KTW-5','10:00','11:00'
528,'29.08.2020','5-KTW-6','11:00','12:00'
529,'29.08.2020','5-KTW-6','12:00','13:00'
530,'29.08.2020','5-KTW-7','09:00','10:00'
531,'29.08.2020','5-KTW-7','10:00','11:00'
532,'29.08.2020','5-KTW-8','11:00','12:00'
533,'29.08.2020','5-KTW-8','12:00','13:00'
534,'29.08.2020','5-KTW-9','20:45','22:00'
535,'29.08.2020','5-KTW-9','23:15','23:45'
536,'29.08.2020','1-KTW-2','07:30','08:30'
537,'29.08.2020','1-KTW-2','08:00','09:00'
538,'29.08.2020','1-KTW-2','07:30','08:30'
539,'29.08.2020','1-KTW-2','08:00','09:00'
540,'29.08.2020','1-KTW-3','09:00','10:00'
541,'29.08.2020','1-KTW-3','10:00','11:00'
542,'29.08.2020','1-KTW-4','10:00','11:00'
543,'29.08.2020','1-KTW-4','11:00','12:00'
544,'29.08.2020','1-KTW-5','09:00','10:00'
545,'29.08.2020','1-KTW-5','10:00','11:00'
546,'29.08.2020','1-KTW-6','11:00','12:00'
547,'29.08.2020','1-KTW-6','12:00','13:00'
548,'29.08.2020','5-KTW-2','07:00','08:00'
549,'29.08.2020','5-KTW-2','08:00','09:00'
550,'29.08.2020','5-KTW-3','09:00','10:00'
551,'29.08.2020','5-KTW-3','10:00','11:00'
552,'29.08.2020','5-KTW-4','10:00','11:00'
553,'29.08.2020','5-KTW-4','11:00','12:00'
554,'29.08.2020','5-KTW-5','09:00','10:00'
555,'29.08.2020','5-KTW-5','10:00','11:00'
556,'29.08.2020','5-KTW-6','11:00','12:00'
557,'29.08.2020','5-KTW-6','12:00','13:00'
558,'29.08.2020','5-KTW-7','09:00','10:00'
559,'29.08.2020','5-KTW-7','10:00','11:00'
560,'29.08.2020','5-KTW-8','11:00','12:00'
561,'29.08.2020','5-KTW-8','12:00','13:00'
562,'29.08.2020','5-KTW-9','20:45','22:00'
563,'29.08.2020','5-KTW-9','23:15','23:45'
564,'29.08.2020','1-KTW-2','07:30','08:30'
565,'29.08.2020','1-KTW-2','08:00','09:00'
566,'29.08.2020','1-KTW-2','07:30','08:30'
567,'29.08.2020','1-KTW-2','08:00','09:00'
568,'29.08.2020','1-KTW-3','09:00','10:00'
569,'29.08.2020','1-KTW-3','10:00','11:00'
570,'29.08.2020','1-KTW-4','10:00','11:00'
571,'29.08.2020','1-KTW-4','11:00','12:00'
572,'29.08.2020','1-KTW-5','09:00','10:00'
573,'29.08.2020','1-KTW-5','10:00','11:00'
574,'29.08.2020','1-KTW-6','11:00','12:00'
575,'29.08.2020','1-KTW-6','12:00','13:00'
576,'29.08.2020','5-KTW-2','07:00','08:00'
577,'29.08.2020','5-KTW-2','08:00','09:00'
578,'29.08.2020','5-KTW-3','09:00','10:00'
579,'29.08.2020','5-KTW-3','10:00','11:00'
580,'29.08.2020','5-KTW-4','10:00','11:00'
581,'29.08.2020','5-KTW-4','11:00','12:00'
582,'29.08.2020','5-KTW-5','09:00','10:00'
583,'29.08.2020','5-KTW-5','10:00','11:00'
584,'29.08.2020','5-KTW-6','11:00','12:00'
585,'29.08.2020','5-KTW-6','12:00','13:00'
586,'29.08.2020','5-KTW-7','09:00','10:00'
587,'29.08.2020','5-KTW-7','10:00','11:00'
588,'29.08.2020','5-KTW-8','11:00','12:00'
589,'29.08.2020','5-KTW-8','12:00','13:00'
590,'29.08.2020','5-KTW-9','20:45','22:00'
591,'29.08.2020','5-KTW-9','23:15','23:45'
592,'29.08.2020','1-KTW-2','07:30','08:30'
593,'29.08.2020','1-KTW-2','08:00','09:00'
594,'29.08.2020','1-KTW-2','07:30','08:30'
595,'29.08.2020','1-KTW-2','08:00','09:00'
596,'29.08.2020','1-KTW-3','09:00','10:00'
597,'29.08.2020','1-KTW-3','10:00','11:00'
598,'29.08.2020','1-KTW-4','10:00','11:00'
599,'29.08.2020','1-KTW-4','11:00','12:00'
600,'29.08.2020','1-KTW-5','09:00','10:00'
601,'29.08.2020','1-KTW-5','10:00','11:00'
602,'29.08.2020','1-KTW-6','11:00','12:00'
603,'29.08.2020','1-KTW-6','12:00','13:00'
604,'29.08.2020','5-KTW-2','07:00','08:00'
605,'29.08.2020','5-KTW-2','08:00','09:00'
606,'29.08.2020','5-KTW-3','09:00','10:00'
607,'29.08.2020','5-KTW-3','10:00','11:00'
608,'29.08.2020','5-KTW-4','10:00','11:00'
609,'29.08.2020','5-KTW-4','11:00','12:00'
610,'29.08.2020','5-KTW-5','09:00','10:00'
611,'29.08.2020','5-KTW-5','10:00','11:00'
612,'29.08.2020','5-KTW-6','11:00','12:00'
613,'29.08.2020','5-KTW-6','12:00','13:00'
614,'29.08.2020','5-KTW-7','09:00','10:00'
615,'29.08.2020','5-KTW-7','10:00','11:00'
616,'29.08.2020','5-KTW-8','11:00','12:00'
617,'29.08.2020','5-KTW-8','12:00','13:00'
618,'29.08.2020','5-KTW-9','20:45','22:00'
619,'29.08.2020','5-KTW-9','23:15','23:45'
620,'29.08.2020','1-KTW-2','07:30','08:30'
621,'29.08.2020','1-KTW-2','08:00','09:00'
622,'29.08.2020','1-KTW-2','07:30','08:30'
623,'29.08.2020','1-KTW-2','08:00','09:00'
624,'29.08.2020','1-KTW-3','09:00','10:00'
625,'29.08.2020','1-KTW-3','10:00','11:00'
626,'29.08.2020','1-KTW-4','10:00','11:00'
627,'29.08.2020','1-KTW-4','11:00','12:00'
628,'29.08.2020','1-KTW-5','09:00','10:00'
629,'29.08.2020','1-KTW-5','10:00','11:00'
630,'29.08.2020','1-KTW-6','11:00','12:00'
631,'29.08.2020','1-KTW-6','12:00','13:00'
632,'29.08.2020','5-KTW-2','07:00','08:00'
633,'29.08.2020','5-KTW-2','08:00','09:00'
634,'29.08.2020','5-KTW-3','09:00','10:00'
635,'29.08.2020','5-KTW-3','10:00','11:00'
636,'29.08.2020','5-KTW-4','10:00','11:00'
637,'29.08.2020','5-KTW-4','11:00','12:00'
638,'29.08.2020','5-KTW-5','09:00','10:00'
639,'29.08.2020','5-KTW-5','10:00','11:00'
640,'29.08.2020','5-KTW-6','11:00','12:00'
641,'29.08.2020','5-KTW-6','12:00','13:00'
642,'29.08.2020','5-KTW-7','09:00','10:00'
643,'29.08.2020','5-KTW-7','10:00','11:00'
644,'29.08.2020','5-KTW-8','11:00','12:00'
645,'29.08.2020','5-KTW-8','12:00','13:00'
646,'29.08.2020','5-KTW-9','20:45','22:00'
647,'29.08.2020','5-KTW-9','23:15','23:45'
648,'29.08.2020','1-KTW-2','07:30','08:30'
649,'29.08.2020','1-KTW-2','08:00','09:00'
650,'29.08.2020','1-KTW-2','07:30','08:30'
651,'29.08.2020','1-KTW-2','08:00','09:00'
652,'29.08.2020','1-KTW-3','09:00','10:00'
653,'29.08.2020','1-KTW-3','10:00','11:00'
654,'29.08.2020','1-KTW-4','10:00','11:00'
655,'29.08.2020','1-KTW-4','11:00','12:00'
656,'29.08.2020','1-KTW-5','09:00','10:00'
657,'29.08.2020','1-KTW-5','10:00','11:00'
658,'29.08.2020','1-KTW-6','11:00','12:00'
659,'29.08.2020','1-KTW-6','12:00','13:00'
660,'29.08.2020','5-KTW-2','07:00','08:00'
661,'29.08.2020','5-KTW-2','08:00','09:00'
662,'29.08.2020','5-KTW-3','09:00','10:00'
663,'29.08.2020','5-KTW-3','10:00','11:00'
664,'29.08.2020','5-KTW-4','10:00','11:00'
665,'29.08.2020','5-KTW-4','11:00','12:00'
666,'29.08.2020','5-KTW-5','09:00','10:00'
667,'29.08.2020','5-KTW-5','10:00','11:00'
668,'29.08.2020','5-KTW-6','11:00','12:00'
669,'29.08.2020','5-KTW-6','12:00','13:00'
670,'29.08.2020','5-KTW-7','09:00','10:00'
671,'29.08.2020','5-KTW-7','10:00','11:00'
672,'29.08.2020','5-KTW-8','11:00','12:00'
673,'29.08.2020','5-KTW-8','12:00','13:00'
674,'29.08.2020','5-KTW-9','20:45','22:00'
675,'29.08.2020','5-KTW-9','23:15','23:45'
676,'29.08.2020','1-KTW-2','07:30','08:30'
677,'29.08.2020','1-KTW-2','08:00','09:00'
678,'29.08.2020','1-KTW-2','07:30','08:30'
679,'29.08.2020','1-KTW-2','08:00','09:00'
680,'29.08.2020','1-KTW-3','09:00','10:00'
681,'29.08.2020','1-KTW-3','10:00','11:00'
682,'29.08.2020','1-KTW-4','10:00','11:00'
683,'29.08.2020','1-KTW-4','11:00','12:00'
684,'29.08.2020','1-KTW-5','09:00','10:00'
685,'29.08.2020','1-KTW-5','10:00','11:00'
686,'29.08.2020','1-KTW-6','11:00','12:00'
687,'29.08.2020','1-KTW-6','12:00','13:00'
688,'29.08.2020','5-KTW-2','07:00','08:00'
689,'29.08.2020','5-KTW-2','08:00','09:00'
690,'29.08.2020','5-KTW-3','09:00','10:00'
691,'29.08.2020','5-KTW-3','10:00','11:00'
692,'29.08.2020','5-KTW-4','10:00','11:00'
693,'29.08.2020','5-KTW-4','11:00','12:00'
694,'29.08.2020','5-KTW-5','09:00','10:00'
695,'29.08.2020','5-KTW-5','10:00','11:00'
696,'29.08.2020','5-KTW-6','11:00','12:00'
697,'29.08.2020','5-KTW-6','12:00','13:00'
698,'29.08.2020','5-KTW-7','09:00','10:00'
699,'29.08.2020','5-KTW-7','10:00','11:00'
700,'29.08.2020','5-KTW-8','11:00','12:00'
701,'29.08.2020','5-KTW-8','12:00','13:00'
702,'29.08.2020','5-KTW-9','20:45','22:00'
703,'29.08.2020','5-KTW-9','23:15','23:45'
704,'29.08.2020','1-KTW-2','07:30','08:30'
705,'29.08.2020','1-KTW-2','08:00','09:00'
706,'29.08.2020','1-KTW-2','07:30','08:30'
707,'29.08.2020','1-KTW-2','08:00','09:00'
708,'29.08.2020','1-KTW-3','09:00','10:00'
709,'29.08.2020','1-KTW-3','10:00','11:00'
710,'29.08.2020','1-KTW-4','10:00','11:00'
711,'29.08.2020','1-KTW-4','11:00','12:00'
712,'29.08.2020','1-KTW-5','09:00','10:00'
713,'29.08.2020','1-KTW-5','10:00','11:00'
714,'29.08.2020','1-KTW-6','11:00','12:00'
715,'29.08.2020','1-KTW-6','12:00','13:00'
716,'29.08.2020','5-KTW-2','07:00','08:00'
717,'29.08.2020','5-KTW-2','08:00','09:00'
718,'29.08.2020','5-KTW-3','09:00','10:00'
719,'29.08.2020','5-KTW-3','10:00','11:00'
720,'29.08.2020','5-KTW-4','10:00','11:00'
721,'29.08.2020','5-KTW-4','11:00','12:00'
722,'29.08.2020','5-KTW-5','09:00','10:00'
723,'29.08.2020','5-KTW-5','10:00','11:00'
724,'29.08.2020','5-KTW-6','11:00','12:00'
725,'29.08.2020','5-KTW-6','12:00','13:00'
726,'29.08.2020','5-KTW-7','09:00','10:00'
727,'29.08.2020','5-KTW-7','10:00','11:00'
728,'29.08.2020','5-KTW-8','11:00','12:00'
729,'29.08.2020','5-KTW-8','12:00','13:00'
730,'29.08.2020','5-KTW-9','20:45','22:00'
731,'29.08.2020','5-KTW-9','23:15','23:45'
732,'29.08.2020','1-KTW-2','07:30','08:30'
733,'29.08.2020','1-KTW-2','08:00','09:00'
734,'29.08.2020','1-KTW-2','07:30','08:30'
735,'29.08.2020','1-KTW-2','08:00','09:00'
736,'29.08.2020','1-KTW-3','09:00','10:00'
737,'29.08.2020','1-KTW-3','10:00','11:00'
738,'29.08.2020','1-KTW-4','10:00','11:00'
739,'29.08.2020','1-KTW-4','11:00','12:00'
740,'29.08.2020','1-KTW-5','09:00','10:00'
741,'29.08.2020','1-KTW-5','10:00','11:00'
742,'29.08.2020','1-KTW-6','11:00','12:00'
743,'29.08.2020','1-KTW-6','12:00','13:00'
744,'29.08.2020','5-KTW-2','07:00','08:00'
745,'29.08.2020','5-KTW-2','08:00','09:00'
746,'29.08.2020','5-KTW-3','09:00','10:00'
747,'29.08.2020','5-KTW-3','10:00','11:00'
748,'29.08.2020','5-KTW-4','10:00','11:00'
749,'29.08.2020','5-KTW-4','11:00','12:00'
750,'29.08.2020','5-KTW-5','09:00','10:00'
751,'29.08.2020','5-KTW-5','10:00','11:00'
752,'29.08.2020','5-KTW-6','11:00','12:00'
753,'29.08.2020','5-KTW-6','12:00','13:00'
754,'29.08.2020','5-KTW-7','09:00','10:00'
755,'29.08.2020','5-KTW-7','10:00','11:00'
756,'29.08.2020','5-KTW-8','11:00','12:00'
757,'29.08.2020','5-KTW-8','12:00','13:00'
758,'29.08.2020','5-KTW-9','20:45','22:00'
759,'29.08.2020','5-KTW-9','23:15','23:45'
760,'29.08.2020','1-KTW-2','07:30','08:30'
761,'29.08.2020','1-KTW-2','08:00','09:00'
762,'29.08.2020','1-KTW-2','07:30','08:30'
763,'29.08.2020','1-KTW-2','08:00','09:00'
764,'29.08.2020','1-KTW-3','09:00','10:00'
765,'29.08.2020','1-KTW-3','10:00','11:00'
766,'29.08.2020','1-KTW-4','10:00','11:00'
767,'29.08.2020','1-KTW-4','11:00','12:00'
768,'29.08.2020','1-KTW-5','09:00','10:00'
769,'29.08.2020','1-KTW-5','10:00','11:00'
770,'29.08.2020','1-KTW-6','11:00','12:00'
771,'29.08.2020','1-KTW-6','12:00','13:00'
772,'29.08.2020','5-KTW-2','07:00','08:00'
773,'29.08.2020','5-KTW-2','08:00','09:00'
774,'29.08.2020','5-KTW-3','09:00','10:00'
775,'29.08.2020','5-KTW-3','10:00','11:00'
776,'29.08.2020','5-KTW-4','10:00','11:00'
777,'29.08.2020','5-KTW-4','11:00','12:00'
778,'29.08.2020','5-KTW-5','09:00','10:00'
779,'29.08.2020','5-KTW-5','10:00','11:00'
780,'29.08.2020','5-KTW-6','11:00','12:00'
781,'29.08.2020','5-KTW-6','12:00','13:00'
782,'29.08.2020','5-KTW-7','09:00','10:00'
783,'29.08.2020','5-KTW-7','10:00','11:00'
784,'29.08.2020','5-KTW-8','11:00','12:00'
785,'29.08.2020','5-KTW-8','12:00','13:00'
786,'29.08.2020','5-KTW-9','20:45','22:00'
787,'29.08.2020','5-KTW-9','23:15','23:45'
788,'29.08.2020','1-KTW-2','07:30','08:30'
789,'29.08.2020','1-KTW-2','08:00','09:00'
790,'29.08.2020','1-KTW-2','07:30','08:30'
791,'29.08.2020','1-KTW-2','08:00','09:00'
792,'29.08.2020','1-KTW-3','09:00','10:00'
793,'29.08.2020','1-KTW-3','10:00','11:00'
794,'29.08.2020','1-KTW-4','10:00','11:00'
795,'29.08.2020','1-KTW-4','11:00','12:00'
796,'29.08.2020','1-KTW-5','09:00','10:00'
797,'29.08.2020','1-KTW-5','10:00','11:00'
798,'29.08.2020','1-KTW-6','11:00','12:00'
799,'29.08.2020','1-KTW-6','12:00','13:00'
800,'29.08.2020','5-KTW-2','07:00','08:00'
801,'29.08.2020','5-KTW-2','08:00','09:00'
802,'29.08.2020','5-KTW-3','09:00','10:00'
803,'29.08.2020','5-KTW-3','10:00','11:00'
804,'29.08.2020','5-KTW-4','10:00','11:00'
805,'29.08.2020','5-KTW-4','11:00','12:00'
806,'29.08.2020','5-KTW-5','09:00','10:00'
807,'29.08.2020','5-KTW-5','10:00','11:00'
808,'29.08.2020','5-KTW-6','11:00','12:00'
809,'29.08.2020','5-KTW-6','12:00','13:00'
810,'29.08.2020','5-KTW-7','09:00','10:00'
811,'29.08.2020','5-KTW-7','10:00','11:00'
812,'29.08.2020','5-KTW-8','11:00','12:00'
813,'29.08.2020','5-KTW-8','12:00','13:00'
814,'29.08.2020','5-KTW-9','20:45','22:00'
815,'29.08.2020','5-KTW-9','23:15','23:45'
816,'29.08.2020','1-KTW-2','07:30','08:30'
817,'29.08.2020','1-KTW-2','08:00','09:00'
818,'29.08.2020','1-KTW-2','07:30','08:30'
819,'29.08.2020','1-KTW-2','08:00','09:00'
820,'29.08.2020','1-KTW-3','09:00','10:00'
821,'29.08.2020','1-KTW-3','10:00','11:00'
822,'29.08.2020','1-KTW-4','10:00','11:00'
823,'29.08.2020','1-KTW-4','11:00','12:00'
824,'29.08.2020','1-KTW-5','09:00','10:00'
825,'29.08.2020','1-KTW-5','10:00','11:00'
826,'29.08.2020','1-KTW-6','11:00','12:00'
827,'29.08.2020','1-KTW-6','12:00','13:00'
828,'29.08.2020','5-KTW-2','07:00','08:00'
829,'29.08.2020','5-KTW-2','08:00','09:00'
830,'29.08.2020','5-KTW-3','09:00','10:00'
831,'29.08.2020','5-KTW-3','10:00','11:00'
832,'29.08.2020','5-KTW-4','10:00','11:00'
833,'29.08.2020','5-KTW-4','11:00','12:00'
834,'29.08.2020','5-KTW-5','09:00','10:00'
835,'29.08.2020','5-KTW-5','10:00','11:00'
836,'29.08.2020','5-KTW-6','11:00','12:00'
837,'29.08.2020','5-KTW-6','12:00','13:00'
838,'29.08.2020','5-KTW-7','09:00','10:00'
839,'29.08.2020','5-KTW-7','10:00','11:00'
840,'29.08.2020','5-KTW-8','11:00','12:00'
841,'29.08.2020','5-KTW-8','12:00','13:00'
842,'29.08.2020','5-KTW-9','20:45','22:00'
843,'29.08.2020','5-KTW-9','23:15','23:45'
